,fecha_no,latitud,longitud,geometry,cp1,cp3,cp5,cp7,cp10,lp15_cp1,lp20_cp1,lp30_cp1,lp40_cp1,lp50_cp1,lp60_cp1,lp90_cp1,lp15_cp3,lp20_cp3,lp30_cp3,lp40_cp3,lp50_cp3,lp60_cp3,lp90_cp3,lp15_cp5,lp20_cp5,lp30_cp5,lp40_cp5,lp50_cp5,lp60_cp5,lp90_cp5,lp15_cp7,lp20_cp7,lp30_cp7,lp40_cp7,lp50_cp7,lp60_cp7,lp90_cp7,lp15_cp10,lp20_cp10,lp30_cp10,lp40_cp10,lp50_cp10,lp60_cp10,lp90_cp10,DEM_mean,slope_mean,aspect_mean,nhd_mean,geo,cober,pre_anual,fecha,mes,pre_mensual
1156,2017-12-14,6.299376529999072,-75.56774851359249,POINT (835083.8966998204 1188580.01280966),0.15973444,10.320301499,45.119261899,66.704331724,76.371576284,81.916114714,87.56906079400001,157.837849594,184.952395649,270.490383181,324.253084,543.079685698,73.28738335,88.066884723,151.38933097,178.25351219499998,268.598775406,325.235708751,564.249398477,46.18884767,57.75852840399999,124.699791055,156.18030514499998,281.571255416,295.208386761,541.8676695270001,23.75875912,51.921041004,104.896507025,161.82118878900002,256.277470626,273.10581797400005,535.0194720869999,23.3590121,79.50162420999999,108.180579685,183.920776027,247.407114946,273.059875018,557.772457213,1550.2704326923076,1.5050444969764123,130.88899113581732,0.5386883295499362,12.0,7.0,1999.781,2017-12-14,12,110.957825
1157,2016-05-29,6.252721872259663,-75.52846070354401,POINT (839418.28085538 1183406.71286466),1.1935051849999998,35.662417583,43.492158661,43.815244685,47.30786110099999,59.1877043108,207.3511268473,317.6399321852,376.6631068383,442.1127801093001,529.7547770630999,677.217218405,34.664701824999995,195.3095665523,311.8999322192,346.9318706883,412.8475131133,508.3691536959,649.309696613,135.5271678273,186.28353162700003,329.2437674812,338.95191354330007,426.9926577455,496.4399059514,635.82899589,171.73554373530004,197.3672321538,328.9206814572,363.6878828343,440.6298121378,496.4896292154,645.814258249,182.488169706,253.9005998962,329.8484669323001,390.2882408967,482.7729934941,501.0700065925,669.605638863,2138.568359375,16.288496537642047,178.4306640625,0.47313304380937055,4.0,5.0,1850.9341,2016-05-29,5,223.04109
1158,2017-10-16,6.2393216839365095,-75.48802825819759,POINT (843890.0029119381 1181912.20399166),3.81243217,10.420390307000002,14.691832586,21.763612208,30.105641226,120.171669138,129.343571558,211.884288383,316.307678139,388.768253834,431.996293238,579.705970075,118.986846116,144.81815556499998,210.05063697000003,314.306217155,384.494024757,425.744128855,609.11584363,116.88996037,143.836317,227.026678413,312.77816149800003,383.829977894,438.03287242,606.9357840349999,109.856229616,140.72251223799998,243.39622468,308.1245067,381.520209803,460.118779508,600.145743581,126.95876869,166.18640585499998,280.32360738600005,351.756774079,394.254776759,479.571111504,594.929498995,2477.0072115384614,15.12594956618089,234.79234900841345,0.4462867883535532,1.0,1.0,1834.1263,2017-10-16,10,224.56313
1159,2017-11-24,6.259762646281749,-75.50763649394914,POINT (841725.5575921799 1184179.25898978),6.088801979,21.637090649,42.502269329,63.290419339,108.327572065,125.36308041,161.629697594,273.2983964675,340.0332054985,397.8421448945,458.0210124355,744.1131966784999,123.881556354,147.95977463900002,267.34078573650004,329.3077129375,394.0537018125,468.4240531305,731.4722198490001,121.974630224,160.19347622599997,297.8558158985,312.44613805250003,408.5834806475,452.1867737055,714.131688924,102.309054939,168.910704776,272.7962468295,308.8527445975,394.0310062205,426.9671032755,711.0310447885,88.246280791,164.86005113649998,231.0507315505,282.9836312895,350.4996807605,438.2038413105,699.10329032,2463.7005709134614,13.187934288611778,104.59194711538461,0.8291025895338792,1.0,9.0,1850.9341,2017-11-24,11,197.3326
1160,2018-12-31,6.22169324431561,-75.5499616663248,POINT (837028.6013779799 1179980.8386788599),0.25076616,0.25076616,0.25076616,0.25076616,3.3791185,3.6641915,9.0571767,24.348390779999995,102.303777448,135.093679958,227.571589169,452.0374437939,4.2554447,9.0571767,30.621094295,112.723052268,139.53042868699998,235.056300159,485.7271136339001,9.0571767,10.32806744,40.015778497,123.318260968,143.811641587,235.056300159,520.8718287039001,9.0571767,15.788676671,60.511066725000006,127.930294248,169.993526062,237.160725519,520.8718287039,6.94894894,18.41243589,94.050867658,130.478875158,200.250110789,249.642977959,545.6666772039,1886.158954326923,10.643876295823317,62.42495492788461,0.35859137315016526,9.0,8.0,1969.9814,2018-12-31,12,115.75247
1161,2019-01-17,6.1956312796544655,-75.56422968763293,POINT (835440.9752424206 1177102.1846650199),1.7864208700000002,3.95639241,5.16957399,11.6596995,37.19268844,52.07124339,52.07124338999999,54.47468853,66.14926418,83.892333203,201.268997968,401.930423458,50.5615845,50.5615845,52.96502964,67.43331659,101.32842728,209.266848048,424.917010095,48.698262240000005,48.69826224,53.55198743,68.606091553,133.03272588,223.775920528,429.670993435,43.07279444,45.21963375,54.59789329999999,64.56290478300001,152.14570983800002,220.079498418,426.386643986,17.95468641,20.35813155,29.7363911,47.67566301,154.096792291,195.244591511,460.618605956,1659.4690504807693,8.185087350698618,290.44405423677887,0.19815459618201622,13.0,7.0,2252.5664,2019-01-17,1,84.81848
1162,2017-12-31,6.280149682712436,-75.6464528369089,POINT (826365.6867443401 1186478.5034097799),3.52157229,30.97908449,41.33211826,54.75478234,54.754782340000006,53.81917012,81.443037235,150.74798432,170.248267601,281.67025602900003,340.572609951,564.301627362,26.39395078,101.11815293,128.679373416,180.442181701,275.078358072,327.726765877,584.685904002,30.42114914,90.59712997,118.324748311,196.416853287,264.55733511200003,347.629030247,574.241359227,58.2746816,82.724283256,107.115045877,226.178380666,265.684083412,347.566657707,567.102485643,75.44473191,94.089958756,120.121198577,230.486296625,277.030564997,408.471399016,614.2533511030001,1916.7911783854167,20.8440424601237,65.68751017252605,0.4580860137939453,8.0,3.0,1864.2473,2017-12-31,12,93.477066
1163,2018-10-23,6.240926664723615,-75.52465666102418,POINT (839835.7880744197 1182100.7420341),0.4769608,25.07072193,32.53965319,54.12514088,58.27419898,98.1712238,169.92291125999998,256.533647805,337.668318185,403.714483065,456.369446915,633.78294282,107.9353103,156.213394315,240.103855465,316.100995485,390.427078305,434.269367115,618.51132892,131.72324963,178.973798345,241.083713715,314.68886534499995,383.266982815,432.293420805,613.90469395,118.8232465,179.956234541,229.174390781,320.790291125,383.478820025,416.814492855,593.91267222,157.469020225,177.374053815,266.115095185,346.631865025,398.497818265,435.568924085,594.0443910399999,1998.223858173077,31.54676466721755,170.32549579326923,0.2528027937962459,7.0,5.0,1969.9814,2018-10-23,10,247.66861
1164,2018-09-30,6.186054358031611,-75.65624564450998,POINT (825250.5029882196 1176072.12316486),20.971410260000003,61.28757875499999,64.33323525499999,64.33323525499999,87.69788905499999,178.234413574,211.657594135,315.205678481,347.740429671,403.753812631,521.453682048,650.614066622,166.1400201,204.21046579,276.604280221,317.336322231,360.529556491,493.062677803,618.371052052,162.0489133,221.505146791,297.510506611,314.876012751,358.63368501099995,517.024813893,642.036928042,173.3473871,260.599354651,300.43351787100005,339.921536211,406.052069961,524.313979293,649.477040942,198.842496991,242.586805201,279.105221771,335.406597211,430.733822228,522.681814163,667.300740102,1912.41845703125,5.16932487487793,110.44818115234375,0.5624736944834391,14.0,7.0,2044.8639,2018-09-30,9,202.06914
1165,2019-01-06,6.259570738632619,-75.61949450509816,POINT (829343.1724380202 1184193.0544562996),1.0813377,1.0813377,1.0813377,1.0813377,1.0813377,1.29424014,1.29424014,44.36908653,71.61422377000001,180.06678825199998,212.480205632,504.458119119,1.29424014,16.19091912,56.93898893,130.355323962,184.418048332,251.713351142,536.8033008790001,1.29424014,21.12209463,56.93898893,158.16169073199998,194.136447972,291.453110422,571.402334479,1.7935784,21.12209463,62.18013424,167.842335302,194.953001952,311.4179505149999,578.848425221,21.12209463,44.36908653,66.89151402,179.32965313199998,209.665198932,324.109915425,618.591658841,1564.6424005681818,14.406416459517045,73.07336980646306,0.2004596536809748,12.0,7.0,1864.2473,2019-01-06,1,63.983105
1166,2018-10-27,6.276901383644703,-75.64847779616044,POINT (826140.4525867002 1186119.8212802599),0.0,12.95132796,24.72566122,57.93790379,95.99166618,131.24344342400002,208.308109167,394.11559261,483.759088522,576.3610797020001,651.324228412,832.866616782,156.42253598399998,242.331292617,385.19142642,506.018735142,614.935667762,650.8999205920001,849.674621717,168.65074335,243.059309333,403.62214752,506.29180043800005,606.106112098,648.559310938,861.858530167,177.400094493,255.40586465,375.29031707,474.627158088,575.951906498,616.452047208,838.469073347,175.767052063,288.30177612,382.332128728,480.477932373,544.4637172280001,589.938829768,817.3921742699999,1949.9137620192307,38.8345947265625,42.78365384615385,0.5226042454059308,8.0,6.0,1864.2473,2018-10-27,10,239.82452
1167,2018-11-20,6.2913843120397175,-75.62867004706398,POINT (828337.8590026998 1187715.49690774),6.96417078,16.396469089999997,16.396469089999997,33.593937216,35.043407415999994,76.739561546,133.36809407,183.994679892,272.690382262,418.608463522,556.99686748,805.819090978,106.42175053,124.272259402,180.696812368,299.017818172,448.35175359,587.574020533,803.873157748,113.21243517,124.272259402,233.407045342,327.859692232,519.56235495,603.2621782030001,806.304415048,106.851213302,111.932962026,215.985999242,359.843637832,502.14130885,624.7584760029999,792.8650580219999,105.993902628,133.66376206,232.288784678,385.880288758,529.0244229460001,635.8786330390001,833.663309859,2121.4811662946427,15.215442112513951,190.80126953125,0.019478091171809604,12.0,6.0,1864.2473,2018-11-20,11,186.08627
1168,2018-09-23,6.209995611485004,-75.5259118048218,POINT (839687.4631413396 1178679.46633714),25.1326829,27.64241307,41.632620974,47.616953294,80.365976066,86.482867701,125.839765191,175.283437941,210.563950141,276.458158871,322.305144591,410.1767476885,100.728794421,129.88957945099995,170.340916801,205.621429001,272.376155171,322.29419908,419.5984100985,109.123777041,122.603231961,166.610225931,195.450498831,273.818659648,318.72084171000006,412.3740465285,104.65255584099998,134.818954561,162.65030544099997,188.338246331,273.05199238800003,312.968530212,405.2617940285001,86.43932618999999,120.62603011000002,156.36182722999996,194.88413511,265.408635503,287.74312758199994,376.6359584575,2629.3665364583335,0.0,,0.9451109568277994,4.0,1.0,1969.9814,2018-09-23,9,185.45418
