fecha_no,latitud,longitud,geometry,cp1,cp3,cp5,cp7,cp10,lp15_cp1,lp20_cp1,lp30_cp1,lp40_cp1,lp50_cp1,lp60_cp1,lp90_cp1,lp15_cp3,lp20_cp3,lp30_cp3,lp40_cp3,lp50_cp3,lp60_cp3,lp90_cp3,lp15_cp5,lp20_cp5,lp30_cp5,lp40_cp5,lp50_cp5,lp60_cp5,lp90_cp5,lp15_cp7,lp20_cp7,lp30_cp7,lp40_cp7,lp50_cp7,lp60_cp7,lp90_cp7,lp15_cp10,lp20_cp10,lp30_cp10,lp40_cp10,lp50_cp10,lp60_cp10,lp90_cp10
2022-01-03,6.25017774730792,-75.64715729098064,POINT (-75.64715729098064 6.25017774730792),24.65060098,32.106001805,45.227757085,66.744664985,109.21395154500001,110.64783771900001,120.465395285,168.265327125,300.18347775200004,365.206623351,425.68626481099994,719.52408532,111.08036974400001,141.320574765,168.48694425500003,298.734589939,359.245362234,423.827813059,724.067749685,99.88823918,129.63187277499998,194.302926765,313.689401664,378.120801024,440.88354613900003,733.142592985,82.95451261,109.423948575,181.189825065,294.307666854,381.591318764,450.99404257900005,757.718610609,70.24576167000001,82.31455907,204.56579946000002,257.855112594,343.811019504,448.09188011900005,719.7228097039999
2022-01-03,6.188411878640133,-75.54441103204803,POINT (-75.54441103204803 6.188411878640133),20.97412933,24.131085920000004,31.380424410000003,41.13071074,41.45441352,69.27742279,75.03219587999999,104.32203123,191.28119977699998,265.419643483,326.34716313800004,555.168515628,71.87523929,77.49416237,112.88493403,193.991057217,272.714604408,339.360825351,555.838114488,64.6259008,70.24482388,116.33527354,216.05837087699996,296.218924558,352.79209616599996,567.9601292120001,56.95884356,60.49453755,115.84057941,207.29148264699998,301.07884119799996,370.020768786,577.520925552,60.17083477,73.78462490999999,156.983299077,216.09326189299998,306.338034182,399.111693626,577.471257812
2022-06-12,6.229207680488143,-75.68153221652165,POINT (-75.68153221652165 6.229207680488143),40.494515289999995,72.97538723,89.69709527,104.039246429,144.977796964,160.19622511199998,208.309304792,326.68316531199997,576.0967879890001,648.687738039,727.9054307279999,1193.4355102061002,142.83785728200002,186.12158296360002,330.661014344,544.0627369757001,648.0918216661,696.1872457991001,1161.1382152337,145.6194203174,191.3270249936,350.942035346,544.9065165177,662.3968103841,713.3892267611001,1144.4800225657002,153.36606985359998,220.291503153,362.67130864800004,537.8263976077001,654.8714588031,746.1329323747,1142.6612424456998,136.1034585374,209.153951148,469.337814918,531.5329498977001,617.3846154531,776.0068075547,1186.2786097857
2022-06-19,6.368404289681228,-75.69769370779274,POINT (-75.69769370779274 6.368404289681228),21.562028436999995,40.814929204,88.904873404,115.013656977,171.836658748,191.01298264500002,285.178575025,392.755559079,535.15116738,604.405251006,734.96346034,1145.966891791,223.65685514200004,273.63941695200003,431.869437296,528.8819165900001,636.2068861099999,736.3367418,1129.885355438,210.373630912,234.142958619,418.496743606,522.5951192,604.49586088,694.3671623199999,1114.6535061579998,191.88004922700003,208.770670344,399.95898753100005,497.58494451,577.0211364300001,666.26251419,1101.763108997,143.416344954,226.965148891,385.26760081,461.40390314,573.76995255,628.2970292299999,1051.9492691270002
2021-06-15,6.360563931006394,-75.70595786598031,POINT (-75.70595786598031 6.360563931006394),20.51122328,49.21684698,67.45825281,123.78021272200002,163.618419168,266.520612959,306.30651225500003,419.730839735,496.49903613000004,679.9391392780001,781.6794965949999,1175.646726841,249.25484004499998,308.078953295,402.72525766499996,504.29398955,654.275077898,755.46681463,1161.7644812960002,251.103730745,309.141616725,387.091503685,538.051045778,661.341790868,739.92019419,1169.483162326,225.81383755299998,253.126507063,348.105166513,494.990108716,607.165824506,709.577053626,1184.70141786,212.981450367,272.457077087,351.47125593199996,536.58585788,605.1322377920001,705.416668004,1183.893395948
2024-11-19,6.256353285654667,-75.50787535971978,POINT (-75.50787535971978 6.256353285654667),6.1052234400000005,7.92722981,15.706684990000001,18.689694690000003,44.92714592,87.038529117,105.727276777,142.711930324,156.310017244,213.911826476,263.747602985,361.180168161,98.454740327,105.42227259699999,141.522849224,169.979001824,241.411116666,269.964375415,359.528657801,97.396492427,99.02209535700001,137.480527964,177.467591266,239.42865936500002,268.884849625,364.66777138099997,93.14280552700001,98.05728868399999,133.498514294,183.153117766,237.75650559500002,269.615959525,360.41408448100003,70.429183127,103.127130424,118.053470124,166.246474956,226.823906405,249.644640315,363.41567410100004
2024-06-14,6.249062692702215,-75.5137115128766,POINT (-75.5137115128766 6.249062692702215),11.2100976,18.261437325,36.63779501,36.979546575,41.629215394999996,82.26382309499999,105.73082902499999,177.95179547499998,266.64052875,322.691678474,384.60787059399996,441.38835642800007,87.187801615,116.029440475,182.45919424800002,278.02929956,338.459644284,379.296626984,437.571338008,69.74161195900001,107.110454619,172.025454759,260.44556969,343.923115854,358.89267904400003,420.51964625799997,93.947669709,106.285677569,203.902743147,270.59507864,357.203413644,358.028759004,421.28210208800004,100.87294307799999,140.512994853,216.42527584799998,285.145501932,353.41682017200003,358.28437201199995,417.457763998
2024-04-21,6.2364566788284455,-75.57714741824428,POINT (-75.57714741824428 6.236456678828445),7.02332892,20.60371615,22.19815325,23.03068266,23.03068266,23.109737080000002,69.68721085000001,74.60409244,82.92284401,88.17094316000001,94.69983797,127.70215242,33.256230120000005,55.76657842000001,66.56791364,72.29219383,74.59055593000001,80.77920554000002,114.12176518999999,49.81995232,54.521797719999995,65.10326108,70.81523367999999,79.53442484000001,79.53442484,112.80419878999999,53.520808470000006,58.43769006,64.14094713,69.98270427,78.53343559,78.53343559000001,111.97166938000001,53.520808470000006,58.43769006,64.14094713,72.16358942,78.53343559000001,78.80373115,113.41125654999999
2021-07-24,6.352647744842578,-75.71188882278311,POINT (-75.71188882278311 6.352647744842578),0.0,0.17421162,0.70978808,37.63007288,90.12700099999999,137.242443985,141.03158816500002,220.11206571399998,353.277578018,496.25754396800005,628.2130158929999,998.2878236859999,140.533782035,141.031588165,237.316968275,375.16755250799997,535.3092881079999,660.483141763,1001.8718020460001,140.764661765,141.564262225,274.32966119799994,395.980808768,576.463007873,661.9694034629999,1030.5068443159998,109.03319131499998,128.11702138500002,287.069151808,417.85767390800004,555.740777023,642.059762513,1012.910934012,52.430579525,117.603612475,255.01319271799997,389.770545738,530.5443226530001,637.6022431470001,1011.3606588819999
2022-09-08,6.197118085430117,-75.66783963262576,POINT (-75.66783963262576 6.197118085430117),47.8677974,61.761473699999996,82.1434805,93.68028393,149.37059619000001,163.30126213,245.65278002000002,319.863112289,445.28907437500004,576.73367101,664.656648434,1032.2788816510001,195.46327501,238.69396793,323.28259333899996,482.50767875500003,584.0394090300001,651.502888304,1030.4660322149998,200.04500406,256.57232586000003,334.48325467899997,508.681841285,581.71470605,636.669144344,1031.458568685,201.54338940999997,270.713119945,356.01885524499994,509.71048667,603.57585558,630.4074460339999,1035.167441788,183.45039879,212.372751209,335.436513595,471.98758328,560.4559571540001,606.669165394,1006.4206247280001
