fecha_ho_1,fecha_no,latitud,longitud,geometry
2023-05-21,2020-12-13,6.219316679542086,-75.50206835097201,POINT (-75.50206835097201 6.219316679542086)
2021-11-30,2021-03-23,6.27377919499997,-75.612063229,POINT (-75.612063229 6.27377919499997)
2023-01-14,2022-10-07,6.271218272999989,-75.626441826,POINT (-75.626441826 6.271218272999989)
2022-06-28,2021-04-27,6.293043287999981,-75.545096634,POINT (-75.545096634 6.293043287999981)
2022-10-20,2023-11-16,6.249064210636959,-75.62550793013509,POINT (-75.62550793013509 6.249064210636959)
2021-09-05,2017-01-25,6.290676335364354,-75.53724373340789,POINT (-75.53724373340789 6.290676335364354)
2022-09-29,2022-04-18,6.237681845359803,-75.5344471588855,POINT (-75.5344471588855 6.237681845359803)
2022-04-05,2024-01-21,6.271971064000011,-75.615801698,POINT (-75.615801698 6.271971064000011)
2023-04-29,2024-06-07,6.289615337999981,-75.592261516,POINT (-75.592261516 6.289615337999981)
2023-04-22,2016-12-29,6.279092295690447,-75.5411601871129,POINT (-75.5411601871129 6.279092295690447)
2021-09-15,2017-03-04,6.29450034799999,-75.540743489,POINT (-75.540743489 6.294500348)
2022-11-03,2018-12-05,6.346106814683797,-75.71441276766303,POINT (-75.71441276766303 6.346106814683797)
2021-12-02,2016-03-28,6.280937891999998,-75.538738285,POINT (-75.538738285 6.280937892)
2022-06-27,2021-01-19,6.261295858639616,-75.55526880339787,POINT (-75.55526880339787 6.261295858639616)
2023-04-21,2020-07-22,6.22925565713458,-75.53129919815153,POINT (-75.53129919815153 6.22925565713458)
2023-02-17,2021-02-18,6.261843634,-75.539493588,POINT (-75.539493588 6.261843634)
2022-06-27,2021-07-01,6.260955932,-75.55487535,POINT (-75.55487535 6.260955932)
2023-01-15,2021-07-13,6.26980274700003,-75.535696806,POINT (-75.535696806 6.26980274700003)
2024-06-27,2021-03-04,6.264020440116645,-75.61226991455206,POINT (-75.61226991455206 6.264020440116645)
2024-07-02,2019-09-29,6.2537354343433575,-75.62326413865735,POINT (-75.62326413865735 6.253735434343358)
2021-11-30,2023-09-13,6.171984526000019,-75.647433141,POINT (-75.647433141 6.171984526000019)
2021-11-30,2021-05-29,6.272992234000008,-75.54221653,POINT (-75.54221653 6.272992234)
2021-12-01,2018-02-23,6.294774818901193,-75.59389143996246,POINT (-75.59389143996246 6.294774818901193)
2021-11-30,2018-12-23,6.271934597999971,-75.543981522,POINT (-75.543981522 6.271934597999971)
2021-11-30,2023-12-13,6.293602094999983,-75.595681251,POINT (-75.595681251 6.293602094999983)
2021-11-30,2023-07-20,6.279570568999991,-75.622362408,POINT (-75.622362408 6.279570569)
2021-11-30,2021-01-24,6.279099238000011,-75.557441829,POINT (-75.557441829 6.279099238000011)
2021-11-30,2019-10-11,6.26793929000002,-75.623746997,POINT (-75.623746997 6.26793929000002)
2021-11-30,2020-04-10,6.27844214700002,-75.609449556,POINT (-75.609449556 6.27844214700002)
2021-12-01,2022-04-01,6.289918161,-75.542664961,POINT (-75.542664961 6.289918161)
