Unnamed: 0,id,fecha_hora,nombre_del,entidad,cargo,fecha_ho_1,incertidum,latitud,longitud,incertid_1,tipo_movim,origen,municipio,corregimie,vereda_bar,sector,direccion,muertes,heridos,desapareci,otras_afec,fuente,observacio,validado,DEM_mean,slope_mean,aspect_mean,nhd_mean,geo,cober,pre_anual,fecha,mes,pre_mensual,cp1,cp3,cp5,cp7,cp10,lp15_cp1,lp20_cp1,lp30_cp1,lp40_cp1,lp50_cp1,lp60_cp1,lp90_cp1,lp15_cp3,lp20_cp3,lp30_cp3,lp40_cp3,lp50_cp3,lp60_cp3,lp90_cp3,lp15_cp5,lp20_cp5,lp30_cp5,lp40_cp5,lp50_cp5,lp60_cp5,lp90_cp5,lp15_cp7,lp20_cp7,lp30_cp7,lp40_cp7,lp50_cp7,lp60_cp7,lp90_cp7,lp15_cp10,lp20_cp10,lp30_cp10,lp40_cp10,lp50_cp10,lp60_cp10,lp90_cp10
343,598,2024/08/06 22:05:31.000,Oscar Sanchez,SIATA - AMVA,Analista,2022-04-05 03:00:00,Baja,6.269969689613422,-75.62950050804116,Media,Deslizamiento,Lluvia,Medellín,Corregimiento 60 San Cristóbal,La Loma,,Carrera 124 # 53 - 66,0.0,0.0,,,DAGRD,,1,1837.422776442308,29.402113694411057,111.48499474158652,0.6421543268057016,8.0,8.0,1864.2473,2022-04-05 03:00:00,4,201.95624,24.7025223,31.46199837,73.329933567,169.77298745000002,236.890608303,248.808178826,299.93552958600003,393.237482111,475.85526390100006,556.9951896350001,617.849770803,686.3048294590001,249.638586216,311.65563189600005,396.066298481,518.143090235,552.844015835,613.4023023029999,701.110561509,248.954184143,270.520798558,384.522522548,477.513915852,512.654083407,570.021991436,662.7859161639999,184.820359303,187.933852858,342.215331988,408.017519402,447.498798537,486.73692442,595.927275196,105.686841698,145.667713128,261.27810647800004,335.16334348600003,411.389642296,427.283643916,557.8088427478
344,599,2024/08/06 22:05:31.000,Oscar Sanchez,SIATA - AMVA,Analista,2022-04-05 16:30:00,Baja,6.264529,-75.612807,Media,Deslizamiento,Lluvia,Medellín,Comuna 13 San Javier,Juan XXIII La Quiebra,,Calle 48 E # 100 - 76,0.0,0.0,,,DAGRD,,1,1630.135516826923,24.04674353966346,256.80506310096155,0.6452221503624549,9.0,7.0,1864.2473,2022-04-05 16:30:00,4,201.95624,46.159135860000006,51.820806090000005,73.93410351,109.8186331746,195.520243653,209.091080363,250.335625048,309.79783371300005,414.332478143,470.74235109308,539.05850932878,607.08862277817,210.021981443,265.351350518,342.752952243,429.32406853497,480.676823443,533.64681631878,603.49685086817,224.491162868,249.821109338,351.993644793,420.053671453,464.869403143,511.53351889878,598.34561399817,210.494720454,214.528141564,351.679698969,393.432220329,444.714683549,475.64898923418,586.08708350357,119.36294707337,122.65219529337,265.21408208337,310.75090864648,382.35051718218,396.91178532218,529.73221005417
345,600,2024/08/06 22:05:31.000,Oscar Sanchez,SIATA - AMVA,Analista,2022-04-05 03:00:00,Baja,6.266546135,-75.613741149,Media,Deslizamiento,Lluvia,Medellín,Comuna 13 San Javier,Juan XXIII La Quiebra,,Calle 49 # 99 F - 100 Interior 110 de Referencia,0.0,0.0,,,DAGRD,,1,1657.8196022727273,12.244014393199574,203.12935014204547,0.929378249428489,9.0,7.0,1864.2473,2022-04-05 03:00:00,4,201.95624,39.73845246,45.40012269,81.35681085,158.36139695999998,216.38423935,210.640492633,252.098504168,337.88801896300004,414.332478143,486.321328493,539.30848654878,607.08862277817,211.281496503,265.351350518,343.630585643,432.48928733497,480.6768234430001,533.64681631878,614.36357152817,215.792587664,240.189518104,345.618470639,410.668470819,457.159539159,501.28951035878,589.45016985817,160.724978454,164.75839956400003,306.64976489537,350.14520715848005,403.00934511178,433.30065123418,548.88107800357,100.12764207337,137.16756855337002,245.97877708337,292.30587494648,371.83919948218,385.78445779218,510.77460775417
347,602,2024/08/06 22:05:31.000,Oscar Sanchez,SIATA - AMVA,Analista,2022-04-05 03:00:00,Baja,6.267234884,-75.614615396,Media,Deslizamiento,Lluvia,Medellín,Comuna 13 San Javier,Juan XXIII La Quiebra,,Calle 48 EE # 99 DD - 154 Interior 1184,0.0,0.0,,,DAGRD,,1,1641.8852163461538,30.575045072115383,218.5123948317308,0.056368025449606,9.0,0.0,1864.2473,2022-04-05 03:00:00,4,201.95624,39.73845246,45.40012269,81.35681085,158.36139695999998,216.38423935,204.27026666,244.97644931,337.10032114997,413.50620163497,484.28635209308,539.30848654878,607.08862277817,205.57804502,256.87349054,341.56096607997,432.48928733497,478.62468186308,533.64681631878,614.36357152817,204.10761277427,229.32797572997,342.10956351997004,406.72337622247,452.85162153638,501.28951035878,589.45016985817,155.41176824967,161.33911660537,306.64976489537,350.14520715848005,403.00934511178,433.30065123418,548.88107800357,100.12764207337,137.16756855337002,245.97877708337,292.30587494648,371.83919948218,385.78445779218,510.77460775417
348,603,2024/08/06 22:05:31.000,Oscar Sanchez,SIATA - AMVA,Analista,2022-04-06 00:00:00,Media,6.19944296466005,-75.59348698212082,Media,Deslizamiento,Lluvia,Medellín,Comuna 15 Guayabal,La Colina,,Calle 11 C Sur # 54 - 35,0.0,0.0,,,DAGRD,,1,1569.193359375,27.764631791548297,187.40147816051137,0.8208512392911044,8.0,7.0,2252.5664,2022-04-06 00:00:00,4,248.35503,24.708343927,45.450714802,67.4510781243,100.3117768043,156.77095705929997,191.5984004993,234.9112289793,318.7917715343,437.20417486,498.461362615,584.285534325,693.1700490454,183.9408706193,237.9921609693,337.6075626443,422.5083952,488.728306265,576.385319975,671.1712069954,175.68115799499998,248.03992821,346.42400151,437.8804324207,472.0842574107001,557.8345217207,673.1068210411,167.188836735,216.07078193,347.27933637,418.9821942107,469.4117682107,524.3257927407,668.1885583411,160.48081597499998,165.466085695,308.8225570807,368.2377484757,444.2193807857,471.8324271857,624.9567835161
349,604,2024/08/06 22:05:31.000,Oscar Sanchez,SIATA - AMVA,Analista,2022-04-05 03:00:00,Baja,6.268647645534294,-75.62676288442533,Media,Deslizamiento,Lluvia,Medellín,Corregimiento 60 San Cristóbal,La Loma,,Calle 52 # 118 - 76 Interior 110,0.0,0.0,,,DAGRD,,1,1814.070033482143,26.356392996651785,208.5424107142857,0.737591062273298,8.0,7.0,1864.2473,2022-04-05 03:00:00,4,201.95624,30.44816037,35.817004547,80.70982024700001,169.77298745000002,236.890608303,248.808178826,299.93552958600003,393.237482111,475.85526390100006,556.9951896350001,617.849770803,686.3048294590001,249.638586216,311.65563189600005,396.066298481,518.143090235,552.844015835,613.4023023029999,701.110561509,248.954184143,270.520798558,384.522522548,477.513915852,512.654083407,569.32387012,662.377036646,184.820359303,187.933852858,342.215331988,408.017519402,447.498798537,486.73692442,595.927275196,105.686841698,145.667713128,261.27810647800004,332.884225152,409.38088276100007,425.740047531,557.8088427478
350,605,2024/08/06 22:05:31.000,Oscar Sanchez,SIATA - AMVA,Analista,2022-04-05 03:00:00,Baja,6.2678919,-75.62465,Media,Deslizamiento,Lluvia,Medellín,Corregimiento 60 San Cristóbal,La Loma,,Calle 52 # 107 - 530 Interior 108,0.0,0.0,,,DAGRD,,1,1732.8870442708333,23.60386657714844,182.29215494791663,0.0527110298474629,8.0,3.0,1864.2473,2022-04-05 03:00:00,4,201.95624,36.023743419999995,43.44763102,81.470973877,165.53470391699997,237.33300484300003,243.134251168,291.564219858,381.218657763,459.387608863,544.613817628,608.820438108,676.490979357,243.782596518,304.177061898,383.693544213,500.5424104929999,537.854341558,602.060962038,688.4398100970001,237.216548751,259.09673016600004,368.321188796,463.395349506,500.897077521,560.193026841,652.10137645,178.94176864500002,181.69093569,327.60104038000003,387.96497574,429.16189900100005,471.210690091,578.443631776,103.2346992,140.06782877,259.019323836,332.672691574,409.38088276100007,425.740047531,544.848497576
351,606,2024/08/06 22:05:31.000,Oscar Sanchez,SIATA - AMVA,Analista,2022-04-05 03:00:00,Baja,6.22949337599999,-75.530122346,Media,Deslizamiento,Lluvia,Medellín,Comuna 9 Buenos Aires,Juan Pablo II,,Carrera 2 # 48 - 166,0.0,0.0,,,DAGRD,,1,1709.8755326704545,15.853296453302557,343.02554598721593,0.0765716162594881,16.0,7.0,1969.9814,2022-04-05 03:00:00,4,212.92358,17.56409432,20.68515172,56.483995049,87.547592129,128.42689635,143.602855915,178.506763176,245.127977836,316.631031156,381.345763318,440.303073337,502.210771234,145.29035442499998,195.375950976,247.754404646,328.37158582599994,377.037015358,435.994325377,503.82177596,139.031529627,169.631497137,228.081129987,307.366828797,346.564099642,399.974021922,478.903967405,130.530663067,143.52711939699998,247.808598397,291.294228807,328.574506832,371.769034842,464.201142599,102.638520315,118.558302315,210.718153605,256.997521725,330.806162249,334.854056465,431.6302552890001
352,607,2024/08/06 22:05:31.000,Oscar Sanchez,SIATA - AMVA,Analista,2021-11-08 02:00:00,Baja,6.332180642814294,-75.70575560907835,Media,Deslizamiento,Lluvia,Medellín,Corregimiento 50 San Sebastián de Palmitas,La Frisola,,,0.0,0.0,,,DAGRD,,1,1874.848557692308,31.619056114783653,320.12496243990387,0.9691236936129056,9.0,6.0,1887.7502,2021-11-08 02:00:00,11,202.34149,15.6560038,19.354837,41.15822046,46.83633582,101.578021656,195.27925685500003,216.8385542005,355.5821869905,468.7039427515,598.8596077755,683.6310139254999,1179.3790281345,209.6883696905,247.56720526050003,367.4672117005,464.5876845215,595.6487499955001,728.1316255155,1243.8537720045,188.8463098905,249.4111158605,360.9113760315,449.796202893,592.7870098855,741.3558684454999,1219.9777859244998,194.0483134605,286.46947152049995,370.6708414515,498.493077643,591.4293924154999,743.1520011855,1229.5296653945,192.5896232905,270.7684501105,350.5182899715,508.6889736255,565.8718189055,757.6478743595001,1178.1465676105
353,608,2024/08/06 22:05:31.000,Oscar Sanchez,SIATA - AMVA,Analista,2022-04-05 04:00:00,Baja,6.280326605669562,-75.5405126571198,Media,Deslizamiento,Lluvia,Medellín,Comuna 3 Manrique,María Cano-Carambolas,,Carrera 23 # 94 - 100 Dirección de Referencia,0.0,0.0,,,DAGRD,,1,2032.5641276041667,33.664164225260414,266.1698811848958,0.4412118593851725,4.0,8.0,1850.9341,2022-04-05 04:00:00,4,208.7147,23.5087611,29.4939356,71.67324092,103.098010256,150.81959356,204.834725996,246.38536788930003,316.1793371893,389.2447224213,456.2883011713,520.7337422493,589.0827971908,205.081007061,262.7781160093,314.9143838493,400.2335241013,451.6145067913,516.0599478693,595.1875302708,192.7185849993,233.1481075693,297.5115786893,378.0859814613,414.3983003513,472.3716425293,559.0303845508,190.3143179333,204.3726148333,310.1336879153,363.4311050653,410.5501762196,443.5961497933,545.5612526408,157.7887402833,174.93829228329997,265.5232554153,318.0827529653,397.0087308196,401.2171179633,508.3884365348
