,id,fecha_hora,nombre_del,entidad,cargo,fecha_ho_1,incertidum,latitud,longitud,incertid_1,tipo_movim,origen,municipio,corregimie,vereda_bar,sector,direccion,muertes,heridos,desapareci,otras_afec,fuente,observacio,validado,DEM_mean,slope_mean,aspect_mean,nhd_mean,geo,cober,pre_anual,fecha,mes,pre_mensual
374,633,2024/08/06 22:05:31.000,Oscar Sanchez,SIATA - AMVA,Analista,2022/04/01 20:00:00.000,Baja,6.30341182000001,-75.658483096,Media,Deslizamiento,Lluvia,Medellín,Corregimiento 60 San Cristóbal,Naranjal,,Carrera 152 # 82 - 311,0.0,0.0,,,DAGRD,,1,2173.4046223958335,27.3902587890625,120.6470947265625,0.16162137190500894,8.0,1.0,1774.0905,2022-04-01 20:00:00,4,179.28722
375,634,2024/08/06 22:05:31.000,Oscar Sanchez,SIATA - AMVA,Analista,2022/04/18 16:00:00.000,Baja,6.20272221300002,-75.601647153,Media,Deslizamiento,Lluvia,Medellín,Comuna 16 Belén,La Hondonada,,Calle 9 Sur # 79 C - 115,0.0,0.0,,,DAGRD,,1,1578.3978365384614,7.1077411358173075,116.460693359375,0.2929735550513634,12.0,7.0,1916.7314,2022-04-18 16:00:00,4,212.7518
376,635,2024/08/06 22:05:31.000,Oscar Sanchez,SIATA - AMVA,Analista,2022/04/07 00:00:00.000,Media,6.201625664612584,-75.59240845388102,Media,Deslizamiento,Lluvia,Medellín,Comuna 15 Guayabal,La Colina,,Carrera 54 # 9 Sur - 80,0.0,0.0,,,DAGRD,,1,1544.344951923077,17.998165424053486,65.69907789963942,0.37200029079730695,8.0,7.0,1968.7611,2022-04-07 00:00:00,4,208.94077
377,636,2024/08/06 22:05:31.000,Oscar Sanchez,SIATA - AMVA,Analista,2022/03/31 06:00:00.000,Baja,6.27220630400001,-75.596921773,Media,Deslizamiento,Lluvia,Medellín,Comuna 13 San Javier,El Pesebre,,Calle 59 # 81 - 79 Interior 210,0.0,0.0,,,DAGRD,,1,1539.1298076923076,19.525608943058895,118.51613206129808,0.38968607095571667,12.0,7.0,1999.781,2022-03-31 06:00:00,3,149.55247
378,638,2024/08/06 22:05:31.000,Oscar Sanchez,SIATA - AMVA,Analista,2022/04/05 03:00:00.000,Baja,6.29706334572298,-75.6470996816282,Media,Deslizamiento,Lluvia,Medellín,Corregimiento 60 San Cristóbal,El LLano,,Carrera 150 C # 80 - 42 Cerca a la oficina del Acueducto arcoíris( Cll.80 150C),0.0,0.0,,,DAGRD,,1,2061.6123046875,15.246087392171225,157.17733764648438,0.09383340676625569,12.0,0.0,1864.2473,2022-04-05 03:00:00,4,201.95624
379,639,2024/08/06 22:05:31.000,Oscar Sanchez,SIATA - AMVA,Analista,2022/04/07 22:20:00.000,Baja,6.19107511800001,-75.672195234,Media,Deslizamiento,Lluvia,Medellín,Corregimiento 80 San Antonio de Prado,Potrerito,,Carrera 92 # 35 A Sur - 162,0.0,0.0,,,DAGRD,,1,2152.9382102272725,3.096712979403409,186.5379083806818,0.9954044168645685,14.0,8.0,2044.8639,2022-04-07 22:20:00,4,222.04674
380,640,2024/08/06 22:05:31.000,Oscar Sanchez,SIATA - AMVA,Analista,2022/04/07 03:00:00.000,Baja,6.270105385182424,-75.6238737538952,Media,Deslizamiento,Lluvia,Medellín,Corregimiento 60 San Cristóbal,La Loma,,Calle 53 # 110 - 194,0.0,0.0,,,DAGRD,,1,1842.7530048076924,35.052642822265625,216.9947228064904,0.5234947204589844,8.0,8.0,1864.2473,2022-04-07 03:00:00,4,201.95624
381,641,2024/08/06 22:05:31.000,Oscar Sanchez,SIATA - AMVA,Analista,2022/04/04 06:00:00.000,Baja,6.2696006,-75.6542029,Media,Deslizamiento,Lluvia,Medellín,Corregimiento 60 San Cristóbal,La Palma,,Dirección de referencia Carrera 152DD # 57-303 (0130),0.0,0.0,,,DAGRD,,1,2044.0326450892858,28.923621041434153,125.95122419084821,0.12811788490840367,8.0,8.0,1934.6694,2022-04-04 06:00:00,4,202.44017
382,643,2024/08/06 22:05:31.000,Oscar Sanchez,SIATA - AMVA,Analista,2022/04/18 19:30:00.000,Baja,6.2546423,-75.6288101,Media,Deslizamiento,Lluvia,Medellín,Comuna 13 San Javier,El Salado,,Calle 39 DA # 119 C - 15 Interior 170,0.0,0.0,,,DAGRD,,1,1644.3203125,25.801912747896633,106.80160757211539,0.157483852826632,8.0,7.0,1864.2473,2022-04-18 19:30:00,4,201.95624
383,644,2024/08/06 22:05:31.000,Oscar Sanchez,SIATA - AMVA,Analista,2022/04/18 16:00:00.000,Baja,6.287653714654478,-75.54357805926965,Media,Deslizamiento,Lluvia,Medellín,Comuna 1 Popular,El Compromiso,,Carrera 31 # 97 - 130 Interior 108,0.0,0.0,,,DAGRD,,1,1821.2447916666667,32.8769276936849,280.44077555338544,0.8542000697209284,4.0,7.0,1850.9341,2022-04-18 16:00:00,4,208.7147
